age,sex,area,region,year,all,obese
15-17,Female,Urban,East,2018,25134,942
15-17,Female,Urban,East,2019,25073,975
15-17,Female,Urban,Northeast,2013,124941,1138
15-17,Female,Urban,Northeast,2014,122985,1286
15-17,Female,Urban,Northeast,2015,116050,1363
15-17,Female,Urban,Northeast,2016,109894,1841
15-17,Female,Urban,Northeast,2017,105388,1985
15-17,Female,Urban,Northeast,2018,101198,2039
15-17,Female,Urban,Northeast,2019,98393,2214
15-17,Female,Urban,South,2013,42757,741
15-17,Female,Urban,South,2014,43099,923
15-17,Female,Urban,South,2015,40449,925
15-17,Female,Urban,South,2016,38956,922
15-17,Female,Urban,South,2017,38417,1005
15-17,Female,Urban,South,2018,37653,1189
15-17,Female,Urban,South,2019,37140,1156
15-17,Female,Urban,West,2013,20551,385
15-17,Female,Urban,West,2014,20195,427
15-17,Female,Urban,West,2015,18756,415
15-17,Female,Urban,West,2016,18086,469
15-17,Female,Urban,West,2017,17621,540
15-17,Female,Urban,West,2018,17106,637
15-17,Female,Urban,West,2019,17386,714
15-17,Male,Rural,Bangkok,2013,0,0
15-17,Male,Rural,Bangkok,2014,0,0
15-17,Male,Rural,Bangkok,2015,0,0
15-17,Male,Rural,Bangkok,2016,0,0
15-17,Male,Rural,Bangkok,2017,0,0
15-17,Male,Rural,Bangkok,2018,0,0
15-17,Male,Rural,Bangkok,2019,0,0
15-17,Male,Rural,Periphery,2013,7072,221
15-17,Male,Rural,Periphery,2014,6937,170
15-17,Male,Rural,Periphery,2015,6657,206
15-17,Male,Rural,Periphery,2016,6497,278
15-17,Male,Rural,Periphery,2017,6470,309
15-17,Male,Rural,Periphery,2018,6291,322
15-17,Male,Rural,Periphery,2019,6148,314
15-17,Male,Rural,Central,2013,5477,227
15-17,Male,Rural,Central,2014,5418,197
15-17,Male,Rural,Central,2015,5156,141
15-17,Male,Rural,Central,2016,4649,177
15-17,Male,Rural,Central,2017,4333,171
15-17,Male,Rural,Central,2018,4052,178
15-17,Male,Rural,Central,2019,3678,213
15-17,Male,Rural,North,2013,21098,439
15-17,Male,Rural,North,2014,19975,467
15-17,Male,Rural,North,2015,18557,439
15-17,Male,Rural,North,2016,17126,472
15-17,Male,Rural,North,2017,16313,579
15-17,Male,Rural,North,2018,16148,653
15-17,Male,Rural,North,2019,15322,688
15-17,Male,Rural,East,2013,4645,95
15-17,Male,Rural,East,2014,4585,90
15-17,Male,Rural,East,2015,4257,118
15-17,Male,Rural,East,2016,4244,129
15-17,Male,Rural,East,2017,3867,168
15-17,Male,Rural,East,2018,3846,161
15-17,Male,Rural,East,2019,3632,169
15-17,Male,Rural,Northeast,2013,38583,391
15-17,Male,Rural,Northeast,2014,37379,470
15-17,Male,Rural,Northeast,2015,35815,482
15-17,Male,Rural,Northeast,2016,33096,557
15-17,Male,Rural,Northeast,2017,29525,591
15-17,Male,Rural,Northeast,2018,28046,721
15-17,Male,Rural,Northeast,2019,24057,728
15-17,Male,Rural,South,2013,13103,263
15-17,Male,Rural,South,2014,12095,241
15-17,Male,Rural,South,2015,10986,267
15-17,Male,Rural,South,2016,10232,263
15-17,Male,Rural,South,2017,9145,285
15-17,Male,Rural,South,2018,8772,330
15-17,Male,Rural,South,2019,8328,367
15-17,Male,Rural,West,2013,5617,102
15-17,Male,Rural,West,2014,5249,76
15-17,Male,Rural,West,2015,4728,112
15-17,Male,Rural,West,2016,4710,112
15-17,Male,Rural,West,2017,4451,158
15-17,Male,Rural,West,2018,4197,165
15-17,Male,Rural,West,2019,4065,190
15-17,Male,Urban,Bangkok,2013,36950,909
15-17,Male,Urban,Bangkok,2014,36072,966
15-17,Male,Urban,Bangkok,2015,32859,899
15-17,Male,Urban,Bangkok,2016,32968,1364
15-17,Male,Urban,Bangkok,2017,33234,1267
15-17,Male,Urban,Bangkok,2018,31484,1247
15-17,Male,Urban,Bangkok,2019,31224,1386
15-17,Male,Urban,Periphery,2013,17771,466
15-17,Male,Urban,Periphery,2014,17303,535
15-17,Male,Urban,Periphery,2015,16026,610
15-17,Male,Urban,Periphery,2016,15257,627
15-17,Male,Urban,Periphery,2017,15071,643
15-17,Male,Urban,Periphery,2018,14613,687
15-17,Male,Urban,Periphery,2019,14835,729
15-17,Male,Urban,Central,2013,9274,347
15-17,Male,Urban,Central,2014,9177,385
15-17,Male,Urban,Central,2015,8504,340
15-17,Male,Urban,Central,2016,8144,428
15-17,Male,Urban,Central,2017,7748,435
15-17,Male,Urban,Central,2018,7866,483
15-17,Male,Urban,Central,2019,7723,502
15-17,Male,Urban,North,2013,42352,1095
15-17,Male,Urban,North,2014,40467,1069
15-17,Male,Urban,North,2015,36721,1043
15-17,Male,Urban,North,2016,35209,1156
15-17,Male,Urban,North,2017,33746,1208
15-17,Male,Urban,North,2018,32645,1426
15-17,Male,Urban,North,2019,31899,1530
15-17,Male,Urban,East,2013,18267,575
15-17,Male,Urban,East,2014,17875,635
15-17,Male,Urban,East,2015,16776,626
15-17,Male,Urban,East,2016,16286,720
15-17,Male,Urban,East,2017,15923,755
15-17,Male,Urban,East,2018,15700,798
15-17,Male,Urban,East,2019,15437,863
15-17,Male,Urban,Northeast,2013,80079,1045
15-17,Male,Urban,Northeast,2014,78118,1163
15-17,Male,Urban,Northeast,2015,73584,1243
15-17,Male,Urban,Northeast,2016,68408,1459
15-17,Male,Urban,Northeast,2017,64052,1525
15-17,Male,Urban,Northeast,2018,62062,1729
15-17,Male,Urban,Northeast,2019,58336,1861
15-17,Male,Urban,South,2013,26765,746
15-17,Male,Urban,South,2014,26692,778
15-17,Male,Urban,South,2015,25285,752
15-17,Male,Urban,South,2016,24511,793
15-17,Male,Urban,South,2017,23009,884
15-17,Male,Urban,South,2018,23067,976
15-17,Male,Urban,South,2019,22549,976
15-17,Male,Urban,West,2013,13654,286
15-17,Male,Urban,West,2014,13391,374
15-17,Male,Urban,West,2015,12409,406
15-17,Male,Urban,West,2016,12306,458
15-17,Male,Urban,West,2017,11624,470
15-17,Male,Urban,West,2018,11324,520
15-17,Male,Urban,West,2019,11397,641
