age,sex,area,region,year,count
2-4,Female,Urban,Bangkok,1991,105876
5-9,Female,Urban,Bangkok,1991,194958
10-14,Female,Urban,Bangkok,1991,235334
15-17,Female,Urban,Bangkok,1991,191759
2-4,Male,Urban,Bangkok,1991,115313
5-9,Male,Urban,Bangkok,1991,206971
10-14,Male,Urban,Bangkok,1991,245302
15-17,Male,Urban,Bangkok,1991,170385
2-4,Female,Rural,Periphery,1991,33442
5-9,Female,Rural,Periphery,1991,66388
10-14,Female,Rural,Periphery,1991,73004
15-17,Female,Rural,Periphery,1991,46547
2-4,Male,Rural,Periphery,1991,34322
5-9,Male,Rural,Periphery,1991,66423
10-14,Male,Rural,Periphery,1991,74418
15-17,Male,Rural,Periphery,1991,40687
2-4,Female,Urban,Periphery,1991,28402
5-9,Female,Urban,Periphery,1991,49091
10-14,Female,Urban,Periphery,1991,56013
15-17,Female,Urban,Periphery,1991,41314
2-4,Male,Urban,Periphery,1991,27930
5-9,Male,Urban,Periphery,1991,52412
10-14,Male,Urban,Periphery,1991,62381
15-17,Male,Urban,Periphery,1991,35662
2-4,Female,Rural,Central,1991,45359
5-9,Female,Rural,Central,1991,95468
10-14,Female,Rural,Central,1991,99066
15-17,Female,Rural,Central,1991,55097
2-4,Male,Rural,Central,1991,48443
5-9,Male,Rural,Central,1991,90023
10-14,Male,Rural,Central,1991,100405
15-17,Male,Rural,Central,1991,54214
2-4,Female,Urban,Central,1991,13869
5-9,Female,Urban,Central,1991,26475
10-14,Female,Urban,Central,1991,27249
15-17,Female,Urban,Central,1991,16369
2-4,Male,Urban,Central,1991,14260
5-9,Male,Urban,Central,1991,26497
10-14,Male,Urban,Central,1991,28848
15-17,Male,Urban,Central,1991,17687
2-4,Female,Rural,North,1991,201494
5-9,Female,Rural,North,1991,381602
10-14,Female,Rural,North,1991,410157
15-17,Female,Rural,North,1991,238102
2-4,Male,Rural,North,1991,217860
5-9,Male,Rural,North,1991,398776
10-14,Male,Rural,North,1991,430789
15-17,Male,Rural,North,1991,250226
2-4,Female,Urban,North,1991,46091
5-9,Female,Urban,North,1991,84026
10-14,Female,Urban,North,1991,94910
15-17,Female,Urban,North,1991,57699
2-4,Male,Urban,North,1991,44770
5-9,Male,Urban,North,1991,86475
10-14,Male,Urban,North,1991,94074
15-17,Male,Urban,North,1991,59485
2-4,Female,Rural,East,1991,56632
5-9,Female,Rural,East,1991,107911
10-14,Female,Rural,East,1991,120824
15-17,Female,Rural,East,1991,68617
2-4,Male,Rural,East,1991,56795
5-9,Male,Rural,East,1991,114597
10-14,Male,Rural,East,1991,123037
15-17,Male,Rural,East,1991,63858
2-4,Female,Urban,East,1991,20361
5-9,Female,Urban,East,1991,37373
10-14,Female,Urban,East,1991,42573
15-17,Female,Urban,East,1991,27995
2-4,Male,Urban,East,1991,20946
5-9,Male,Urban,East,1991,42476
10-14,Male,Urban,East,1991,43247
15-17,Male,Urban,East,1991,27526
2-4,Female,Rural,Northeast,1991,476453
5-9,Female,Rural,Northeast,1991,945370
10-14,Female,Rural,Northeast,1991,956035
15-17,Female,Rural,Northeast,1991,514492
2-4,Male,Rural,Northeast,1991,505554
5-9,Male,Rural,Northeast,1991,971029
10-14,Male,Rural,Northeast,1991,1031380
15-17,Male,Rural,Northeast,1991,552961
2-4,Female,Urban,Northeast,1991,63652
5-9,Female,Urban,Northeast,1991,118911
10-14,Female,Urban,Northeast,1991,142397
15-17,Female,Urban,Northeast,1991,91262
2-4,Male,Urban,Northeast,1991,65197
5-9,Male,Urban,Northeast,1991,127608
10-14,Male,Urban,Northeast,1991,150954
15-17,Male,Urban,Northeast,1991,102356
2-4,Female,Rural,South,1991,169943
5-9,Female,Rural,South,1991,313473
10-14,Female,Rural,South,1991,334520
15-17,Female,Rural,South,1991,182235
2-4,Male,Rural,South,1991,181101
5-9,Male,Rural,South,1991,329071
10-14,Male,Rural,South,1991,344271
15-17,Male,Rural,South,1991,193561
2-4,Female,Urban,South,1991,37031
5-9,Female,Urban,South,1991,64081
10-14,Female,Urban,South,1991,72996
15-17,Female,Urban,South,1991,45860
2-4,Male,Urban,South,1991,37641
5-9,Male,Urban,South,1991,70522
10-14,Male,Urban,South,1991,72133
15-17,Male,Urban,South,1991,46297
2-4,Female,Rural,West,1991,50905
5-9,Female,Rural,West,1991,116808
10-14,Female,Rural,West,1991,117806
